sample	MDS1	MDS2
highspore_204	-6.95697340505258E-05	-0.005451807643864
highspore_205	-0.004446014309038	-0.006807161687576
highspore_206	-0.005176142050009	-0.000439269246352
highspore_207	-0.007138768493437	0.007000646972653
highspore_208	-0.004351272986414	-0.004022583398241
highspore_209	-0.003693581719567	0.000553895520938
highspore_210	-0.00497632196477	-0.005029932609253
highspore_211	-0.012000481054283	-0.00153104451546
highspore_212	-0.007704200869703	-0.00542907021767
highspore_213	-0.001596310763189	-0.002562396449534
highspore_214	-0.004880002733028	-0.003912137523716
highspore_215	-0.005525111638761	0.006606390164132
highspore_216	-0.009973314291715	-0.000598375311983
highspore_217	-0.005360644165644	-0.001649367342165
highspore_218	-0.001401390278378	-0.003611457522925
highspore_219	-0.003899171369826	-0.006980021056188
highspore_220	-0.007866194803016	0.006658379457127
highspore_221	-0.004391872311634	-0.005084847046466
highspore_222	-0.000916289068023	-0.005186306069215
highspore_223	-0.005505218375732	0.000576204123642
highspore_224	-0.003288690995106	-0.003004793383464
highspore_225	-0.00859247871415	0.005895992210459
highspore_226	-0.003525107412475	0.000568551281943
highspore_227	-0.004074607121888	-0.004815288270358
highspore_228	-0.011841096685213	0.003343377989716
highspore_229	-0.002514452561704	0.000729998688465
highspore_230	-0.006479966552551	-0.007516914232394
highspore_231	-0.006260833476455	-0.002056668354355
highspore_232	-0.007651370887005	0.005141447319037
highspore_233	-0.004872569347035	-0.006860675690838
highspore_234	-0.001278994545706	-0.005243641153764
highspore_235	-0.003726798004229	-0.002265219409397
