272563.8.peg.3558	CD3395
272563.8.peg.3559	CD3396
272563.8.peg.3565	CD3402
272563.8.peg.3578	CD3415
272563.8.peg.3580	CD3417
272563.8.peg.3582	CD3419
272563.8.peg.3583	CD3420
272563.8.peg.3584	CD3421
272563.8.peg.3585	CD3422
272563.8.peg.3588	CD3425
272563.8.peg.3591	CD3428
272563.8.peg.3595	CD3432
272563.8.peg.3596	CD3433
272563.8.peg.3598	CD3435
272563.8.peg.3600	CD3437
272563.8.peg.3601	CD3438
272563.8.peg.3602	CD3439
272563.8.peg.3606	CD3441
272563.8.peg.3613	CD3448
272563.8.peg.3616	CD3451
272563.8.peg.3621	CD3456
272563.8.peg.3624	CD3459
272563.8.peg.3625	CD3460
272563.8.peg.3628	CD3463
272563.8.peg.3632	CD3467
272563.8.peg.3633	CD3468
272563.8.peg.3634	CD3469
272563.8.peg.3635	CD3470
272563.8.peg.3636	CD3471
272563.8.peg.3640	CD3475
272563.8.peg.3641	CD3476
272563.8.peg.3642	CD3477
272563.8.peg.3645	CD3479
272563.8.peg.3653	CD3486A
272563.8.peg.3656	CD3488
272563.8.peg.3664	CD3496
272563.8.peg.3682	CD3514
272563.8.peg.3683	CD3515
272563.8.peg.3708	CD3540
272563.8.peg.3711	CD3543
272563.8.peg.3717	CD3549
272563.8.peg.3718	CD3550
272563.8.peg.3722	CD3552
272563.8.peg.3725	CD3555
272563.8.peg.3728	CD3558
272563.8.peg.3730	CD3560
272563.8.peg.3732	CD3562
272563.8.peg.3736	CD3566
272563.8.peg.3759	CD3588
272563.8.peg.3760	CD3589
272563.8.peg.3761	CD3590
272563.8.peg.3762	CD3591
272563.8.peg.3763	CD3592
272563.8.peg.3768	CD3596
272563.8.peg.3769	CD3597
272563.8.peg.3770	CD3598
272563.8.peg.3777	CD3605
272563.8.peg.3799	CD3626
272563.8.peg.3804	CD3631
272563.8.peg.3805	CD3632
272563.8.peg.3820	CD3645
272563.8.peg.3822	CD3647
272563.8.peg.3823	CD3648
272563.8.peg.3825	CD3650
272563.8.peg.3830	CD3655
272563.8.peg.3833	CD3658
272563.8.peg.3837	CD3661A
272563.8.peg.3838	CD3662
272563.8.peg.3839	CD3663
272563.8.peg.3846	CD3670
272563.8.peg.3857	CD3679
272563.8.peg.3858	CD3680
