gene	transcript	inclusion
b3726	0.0	0
b3603	0.0	1
b2784	3.0	0
b1007	0.0	0
b2780	6.0	0
b2028	0.0	0
b4322	0.0	0
b4323	0.0	0
b1208	1.0	1
b3824	1.0	0
b3951	0.0	1
b1492	82.0	1
b1200	1.0	0
b0062	0.0	0
b1611	0.0	1
b1207	3.0	0
b1613	2.0	0
b1612	0.0	1
b2130	0.0	0
b1198	1.0	0
b1199	0.0	0
b3725	1.0	0
b3960	0.0	0
b1192	1.0	0
b0353	0.0	0
b1190	1.0	0
b1197	0.0	0
b0352	0.0	0
b1291	0.0	1
b0446	0.0	0
b0822	0.0	0
b3458	2.0	0
b0423	1.0	0
b1297	0.0	1
b1296	0.0	1
b0829	2.0	1
b1298	0.0	0
b3008	2.0	0
b0350	0.0	0
b3236	1.0	0
b1493	24.0	0
b0674	3.0	0
b2303	0.0	0
b2131	0.0	0
b1102	0.0	0
b1849	0.0	1
b1107	1.0	0
b1106	0.0	1
b1109	0.0	0
b1661	19.0	0
b1662	1.0	1
b2421	3.0	0
b1440	0.0	1
b1441	0.0	1
b4131	0.0	0
b1443	0.0	1
b3187	2.0	1
b0133	2.0	0
b3223	0.0	0
b0131	1.0	0
b3200	1.0	0
b2987	0.0	1
b3477	0.0	0
b3633	0.0	0
b2134	0.0	0
b4394	0.0	0
b4395	0.0	1
b1223	2.0	1
b1682	1.0	0
b1683	4.0	0
b1680	3.0	0
b1681	3.0	0
b1723	2.0	0
b1216	0.0	1
b3126	0.0	1
b0237	6.0	1
b2328	0.0	0
b1189	1.0	0
b2329	1.0	1
b0750	3.0	0
b2323	9.0	0
b3648	1.0	1
b4237	0.0	0
b3634	0.0	1
b0628	2.0	0
b3640	0.0	0
b3137	0.0	0
b3642	0.0	0
b1224	29.0	1
b3132	0.0	0
b0622	0.0	0
b3793	0.0	0
