MDS1	MDS2
smooth_19	-0.000693375610236696	-0.0072197487991374
smooth_20	0.0222707731044261	0.00586107869764331
smooth_21	0.0165055678908773	0.000335715528067572
smooth_22	-0.00582606993692907	-0.00882051773517063
smooth_23	0.0192531670729994	0.0105733450808072
smooth_24	0.0165637858952335	0.00106840310417456
smooth_25	0.00281916691783083	-0.0141743917482253
smooth_26	0.00947611984211713	-0.016334539589869
smooth_27	0.0243415698625196	0.0108942696645174
smooth_28	-0.00331669848607303	-0.00682882126941937
smooth_29	0.000722647090396792	-0.00270858843537048
smooth_30	0.0270896541700353	0.0101594972174558
smooth_31	-0.00488157502206155	-0.00574094662515131
smooth_32	-0.00660784228610828	0.0126095813566569
smooth_33	-0.00254959556963089	-0.00183386852919748
smooth_34	0.000285715914825442	-0.00359334135661315
smooth_35	0.0141601822972073	-0.00763565523443741
smooth_36	0.0243546072905152	-0.00408426457291438
smooth_37	0.0212224597323307	-0.00395734178246696
smooth_38	-0.00439974276274429	0.0101471845146825
smooth_39	-0.00562810512411978	-0.00537926738994463
smooth_40	-0.00399494360094845	0.0126313504264461
smooth_41	-0.000501214921488512	-0.00933086413068371
smooth_42	-0.00467417978837771	-0.00931521542019556
smooth_43	0.0229225530567511	-0.00377152928808329
smooth_44	-0.00106222829929218	0.0134852319051674
smooth_45	-0.005356231569584	-0.00958082904882852
smooth_46	0.00899453471067491	0.00597509336042587
smooth_47	0.0125973009574232	0.0116291698044719
smooth_48	0.0202882374097135	0.0104876387511031
smooth_49	0.016504566730921	-0.00241614644427984
smooth_50	-0.000856792805218842	-0.00632249443663965
smooth_51	0.0255462039243951	0.00165460180078007
smooth_52	0.00831093087136539	-0.00320149492441719
smooth_53	0.0169379662703771	3.1978992701237e-05
smooth_54	-0.00181153711280453	-0.0160878452769027
smooth_55	0.0093863215392372	0.00608729402262411
smooth_56	0.0227930019406912	-0.00786702307794059
smooth_57	0.000340474942584984	-0.00356405710088494
smooth_58	0.0214780072753201	0.0157975864454014
smooth_59	-0.00345616446787249	-0.00615735958818854
smooth_60	0.016753477274204	-0.00640905733174662
smooth_61	-0.00254292495421226	-0.00617733980944852
smooth_62	-0.00396006846162281	-0.00453916790998524
smooth_63	0.00285315279644301	0.0159885431874561
smooth_64	0.0241276774022482	0.012414369483452
smooth_65	-0.00110969687828929	-0.00356664891938428
smooth_66	0.0161529744159793	0.0142710542906129
smooth_67	0.0170741802171323	0.00896320386667137
